officeCarp,livingCarp,kitchenCarp,bedroomCarp,bathroomCarp,Activity,Time,timestamp
0,0,0,1,0,other,2020-03-01 08:02:05,2020-03-01 07:58:11
0,0,0,0,0,other,2020-03-01 08:02:24,2020-03-01 07:58:12
0,0,0,1,0,other,2020-03-01 08:02:37,2020-03-01 07:58:13
0,0,0,0,0,other,2020-03-01 08:02:40,2020-03-01 07:58:14
0,0,0,0,1,other,2020-03-01 08:02:43,2020-03-01 07:58:15
0,0,0,0,0,personal,2020-03-01 08:13:38,2020-03-01 07:58:16
0,1,0,0,0,personal,2020-03-01 08:13:42,2020-03-01 07:58:17
0,0,0,0,0,personal,2020-03-01 08:17:58,2020-03-01 07:58:18
0,1,0,0,0,leisure,2020-03-01 08:17:59,2020-03-01 07:58:19
0,0,0,0,0,leisure,2020-03-01 08:22:11,2020-03-01 07:58:20
0,0,1,0,0,eat,2020-03-01 08:22:13,2020-03-01 07:58:21
0,0,0,0,0,eat,2020-03-01 08:33:47,2020-03-01 07:58:22
0,1,0,0,0,eat,2020-03-01 08:33:49,2020-03-01 07:58:23
1,0,0,0,0,other,2020-03-01 04:20:10,2020-03-01 04:15:35
0,0,0,0,0,other,2020-03-01 04:20:17,2020-03-01 04:15:36
0,0,1,0,0,eat,2020-03-01 04:20:23,2020-03-01 04:15:37
0,1,0,0,0,eat,2020-03-01 04:31:46,2020-03-01 04:15:38
0,0,0,0,0,eat,2020-03-01 04:31:51,2020-03-01 04:15:39
0,0,0,0,1,leisure,2020-03-01 04:31:55,2020-03-01 04:15:40
0,0,0,0,0,leisure,2020-03-01 04:37:02,2020-03-01 04:15:41
0,0,0,1,0,leisure,2020-03-01 04:37:04,2020-03-01 04:15:42
0,0,0,0,0,leisure,2020-03-01 04:37:07,2020-03-01 04:15:43
0,1,0,0,0,leisure,2020-03-01 04:37:08,2020-03-01 04:15:44
0,0,0,0,0,leisure,2020-03-01 04:57:14,2020-03-01 04:15:45
0,1,0,0,0,leisure,2020-03-01 04:57:16,2020-03-01 04:15:46
0,0,0,0,0,leisure,2020-03-01 04:57:19,2020-03-01 04:15:47
0,0,0,1,0,leisure,2020-03-01 04:57:20,2020-03-01 04:15:48
0,0,0,1,0,other,2020-03-03 07:55:30,2020-03-02 07:50:54
0,0,0,0,0,other,2020-03-03 07:57:43,2020-03-02 07:50:55
0,0,1,0,0,other,2020-03-03 07:57:49,2020-03-02 07:50:56
0,0,0,0,0,other,2020-03-03 08:00:04,2020-03-02 07:50:57
0,0,0,0,1,eat,2020-03-03 08:00:11,2020-03-02 07:50:58
0,1,0,0,0,other,2020-03-04 05:32:20,2020-03-02 05:30:30
0,0,0,0,0,other,2020-03-04 05:32:24,2020-03-02 05:30:31
0,0,0,1,0,other,2020-03-04 05:32:27,2020-03-02 05:30:32
0,0,0,0,0,other,2020-03-04 05:32:32,2020-03-02 05:30:33
0,0,0,1,0,sleep,2020-03-04 05:32:33,2020-03-02 05:30:34
0,0,0,0,1,sleep,2020-03-04 06:12:42,2020-03-02 05:30:35
0,0,0,0,0,sleep,2020-03-04 06:16:21,2020-03-02 05:30:36
0,1,0,0,0,sleep,2020-03-04 06:16:22,2020-03-02 05:30:37
0,0,0,0,0,sleep,2020-03-04 06:16:25,2020-03-02 05:30:38
0,0,1,0,0,eat,2020-03-04 06:16:27,2020-03-02 05:30:39
0,0,0,0,0,eat,2020-03-04 06:33:17,2020-03-02 05:30:40
1,0,0,0,0,eat,2020-03-04 06:33:21,2020-03-02 05:30:41
0,1,0,0,0,eat,2020-03-04 07:20:07,2020-03-02 05:30:42
0,0,0,0,0,work,2020-03-04 07:50:16,2020-03-02 05:30:43
0,0,0,0,1,leisure,2020-03-04 07:50:18,2020-03-02 05:30:44
0,0,0,0,0,leisure,2020-03-04 07:55:12,2020-03-02 05:30:45
0,1,0,0,0,personal,2020-03-04 07:55:13,2020-03-02 05:30:46
0,0,0,0,0,personal,2020-03-04 08:26:43,2020-03-02 05:30:47
0,1,0,0,0,leisure,2020-03-04 08:26:44,2020-03-02 05:30:48
0,0,0,0,0,leisure,2020-03-04 08:26:45,2020-03-02 05:30:49
0,0,1,0,0,leisure,2020-03-04 08:26:47,2020-03-02 05:30:50
0,0,0,0,0,leisure,2020-03-04 08:26:56,2020-03-02 05:30:51
1,0,0,0,0,leisure,2020-03-04 08:26:57,2020-03-02 05:30:52
0,0,0,0,0,leisure,2020-03-04 08:57:04,2020-03-02 05:30:53
0,1,0,0,0,leisure,2020-03-04 08:57:05,2020-03-02 05:30:54
0,0,0,0,0,leisure,2020-03-04 09:47:11,2020-03-02 05:30:55
0,0,0,0,1,leisure,2020-03-04 09:47:12,2020-03-02 05:30:56
0,0,0,1,0,leisure,2020-03-04 09:47:13,2020-03-02 05:30:57
0,0,0,1,0,other,2020-03-03 07:55:30,2020-03-03 08:00:06
0,0,0,0,0,other,2020-03-03 07:57:43,2020-03-03 08:00:07
0,0,1,0,0,other,2020-03-03 07:57:49,2020-03-03 08:00:08
0,0,0,0,0,other,2020-03-03 08:00:04,2020-03-03 08:00:09
0,0,0,0,1,eat,2020-03-03 08:00:11,2020-03-03 08:00:10
0,1,0,0,0,other,2020-03-04 05:32:20,2020-03-03 05:36:49
0,0,0,0,0,other,2020-03-04 05:32:24,2020-03-03 05:36:50
0,0,0,1,0,other,2020-03-04 05:32:27,2020-03-03 05:36:51
0,0,0,0,0,other,2020-03-04 05:32:32,2020-03-03 05:36:52
0,0,0,1,0,sleep,2020-03-04 05:32:33,2020-03-03 05:36:53
0,0,0,0,1,sleep,2020-03-04 06:12:42,2020-03-03 05:36:54
0,0,0,0,0,sleep,2020-03-04 06:16:21,2020-03-03 05:36:55
0,1,0,0,0,sleep,2020-03-04 06:16:22,2020-03-03 05:36:56
0,0,0,0,0,sleep,2020-03-04 06:16:25,2020-03-03 05:36:57
0,0,1,0,0,eat,2020-03-04 06:16:27,2020-03-03 05:36:58
0,0,0,0,0,eat,2020-03-04 06:33:17,2020-03-03 05:36:59
1,0,0,0,0,eat,2020-03-04 06:33:21,2020-03-03 05:37:00
0,1,0,0,0,eat,2020-03-04 07:20:07,2020-03-03 05:37:01
0,0,0,0,0,work,2020-03-04 07:50:16,2020-03-03 05:37:02
0,0,0,0,1,leisure,2020-03-04 07:50:18,2020-03-03 05:37:03
0,0,0,0,0,leisure,2020-03-04 07:55:12,2020-03-03 05:37:04
0,1,0,0,0,personal,2020-03-04 07:55:13,2020-03-03 05:37:05
0,0,0,0,0,personal,2020-03-04 08:26:43,2020-03-03 05:37:06
0,1,0,0,0,leisure,2020-03-04 08:26:44,2020-03-03 05:37:07
0,0,0,0,0,leisure,2020-03-04 08:26:45,2020-03-03 05:37:08
0,0,1,0,0,leisure,2020-03-04 08:26:47,2020-03-03 05:37:09
0,0,0,0,0,leisure,2020-03-04 08:26:56,2020-03-03 05:37:10
1,0,0,0,0,leisure,2020-03-04 08:26:57,2020-03-03 05:37:11
0,0,0,0,0,leisure,2020-03-04 08:57:04,2020-03-03 05:37:12
0,1,0,0,0,leisure,2020-03-04 08:57:05,2020-03-03 05:37:13
0,0,0,0,0,leisure,2020-03-04 09:47:11,2020-03-03 05:37:14
0,0,0,0,1,leisure,2020-03-04 09:47:12,2020-03-03 05:37:15
0,0,0,1,0,leisure,2020-03-04 09:47:13,2020-03-03 05:37:16
0,0,0,1,0,other,2020-03-03 07:55:30,2020-03-04 07:51:07
0,0,0,0,0,other,2020-03-03 07:57:43,2020-03-04 07:51:08
0,0,1,0,0,other,2020-03-03 07:57:49,2020-03-04 07:51:09
0,0,0,0,0,other,2020-03-03 08:00:04,2020-03-04 07:51:10
0,0,0,0,1,eat,2020-03-03 08:00:11,2020-03-04 07:51:11
0,1,0,0,0,other,2020-03-04 05:32:20,2020-03-04 05:29:31
0,0,0,0,0,other,2020-03-04 05:32:24,2020-03-04 05:29:32
0,0,0,1,0,other,2020-03-04 05:32:27,2020-03-04 05:29:33
0,0,0,0,0,other,2020-03-04 05:32:32,2020-03-04 05:29:34
0,0,0,1,0,sleep,2020-03-04 05:32:33,2020-03-04 05:29:35
0,0,0,0,1,sleep,2020-03-04 06:12:42,2020-03-04 05:29:36
0,0,0,0,0,sleep,2020-03-04 06:16:21,2020-03-04 05:29:37
0,1,0,0,0,sleep,2020-03-04 06:16:22,2020-03-04 05:29:38
0,0,0,0,0,sleep,2020-03-04 06:16:25,2020-03-04 05:29:39
0,0,1,0,0,eat,2020-03-04 06:16:27,2020-03-04 05:29:40
0,0,0,0,0,eat,2020-03-04 06:33:17,2020-03-04 05:29:41
1,0,0,0,0,eat,2020-03-04 06:33:21,2020-03-04 05:29:42
0,1,0,0,0,eat,2020-03-04 07:20:07,2020-03-04 05:29:43
0,0,0,0,0,work,2020-03-04 07:50:16,2020-03-04 05:29:44
0,0,0,0,1,leisure,2020-03-04 07:50:18,2020-03-04 05:29:45
0,0,0,0,0,leisure,2020-03-04 07:55:12,2020-03-04 05:29:46
0,1,0,0,0,personal,2020-03-04 07:55:13,2020-03-04 05:29:47
0,0,0,0,0,personal,2020-03-04 08:26:43,2020-03-04 05:29:48
0,1,0,0,0,leisure,2020-03-04 08:26:44,2020-03-04 05:29:49
0,0,0,0,0,leisure,2020-03-04 08:26:45,2020-03-04 05:29:50
0,0,1,0,0,leisure,2020-03-04 08:26:47,2020-03-04 05:29:51
0,0,0,0,0,leisure,2020-03-04 08:26:56,2020-03-04 05:29:52
1,0,0,0,0,leisure,2020-03-04 08:26:57,2020-03-04 05:29:53
0,0,0,0,0,leisure,2020-03-04 08:57:04,2020-03-04 05:29:54
0,1,0,0,0,leisure,2020-03-04 08:57:05,2020-03-04 05:29:55
0,0,0,0,0,leisure,2020-03-04 09:47:11,2020-03-04 05:29:56
0,0,0,0,1,leisure,2020-03-04 09:47:12,2020-03-04 05:29:57
0,0,0,1,0,leisure,2020-03-04 09:47:13,2020-03-04 05:29:58
0,0,0,1,0,other,2020-03-03 07:55:30,2020-03-05 07:54:53
0,0,0,0,0,other,2020-03-03 07:57:43,2020-03-05 07:54:54
0,0,1,0,0,other,2020-03-03 07:57:49,2020-03-05 07:54:55
0,0,0,0,0,other,2020-03-03 08:00:04,2020-03-05 07:54:56
0,0,0,0,1,eat,2020-03-03 08:00:11,2020-03-05 07:54:57
0,1,0,0,0,other,2020-03-04 05:32:20,2020-03-05 05:34:42
0,0,0,0,0,other,2020-03-04 05:32:24,2020-03-05 05:34:43
0,0,0,1,0,other,2020-03-04 05:32:27,2020-03-05 05:34:44
0,0,0,0,0,other,2020-03-04 05:32:32,2020-03-05 05:34:45
0,0,0,1,0,sleep,2020-03-04 05:32:33,2020-03-05 05:34:46
0,0,0,0,1,sleep,2020-03-04 06:12:42,2020-03-05 05:34:47
0,0,0,0,0,sleep,2020-03-04 06:16:21,2020-03-05 05:34:48
0,1,0,0,0,sleep,2020-03-04 06:16:22,2020-03-05 05:34:49
0,0,0,0,0,sleep,2020-03-04 06:16:25,2020-03-05 05:34:50
0,0,1,0,0,eat,2020-03-04 06:16:27,2020-03-05 05:34:51
0,0,0,0,0,eat,2020-03-04 06:33:17,2020-03-05 05:34:52
1,0,0,0,0,eat,2020-03-04 06:33:21,2020-03-05 05:34:53
0,1,0,0,0,eat,2020-03-04 07:20:07,2020-03-05 05:34:54
0,0,0,0,0,work,2020-03-04 07:50:16,2020-03-05 05:34:55
0,0,0,0,1,leisure,2020-03-04 07:50:18,2020-03-05 05:34:56
0,0,0,0,0,leisure,2020-03-04 07:55:12,2020-03-05 05:34:57
0,1,0,0,0,personal,2020-03-04 07:55:13,2020-03-05 05:34:58
0,0,0,0,0,personal,2020-03-04 08:26:43,2020-03-05 05:34:59
0,1,0,0,0,leisure,2020-03-04 08:26:44,2020-03-05 05:35:00
0,0,0,0,0,leisure,2020-03-04 08:26:45,2020-03-05 05:35:01
0,0,1,0,0,leisure,2020-03-04 08:26:47,2020-03-05 05:35:02
0,0,0,0,0,leisure,2020-03-04 08:26:56,2020-03-05 05:35:03
1,0,0,0,0,leisure,2020-03-04 08:26:57,2020-03-05 05:35:04
0,0,0,0,0,leisure,2020-03-04 08:57:04,2020-03-05 05:35:05
0,1,0,0,0,leisure,2020-03-04 08:57:05,2020-03-05 05:35:06
0,0,0,0,0,leisure,2020-03-04 09:47:11,2020-03-05 05:35:07
0,0,0,0,1,leisure,2020-03-04 09:47:12,2020-03-05 05:35:08
0,0,0,1,0,leisure,2020-03-04 09:47:13,2020-03-05 05:35:09
0,0,0,1,0,other,2020-03-03 07:55:30,2020-03-06 07:52:13
0,0,0,0,0,other,2020-03-03 07:57:43,2020-03-06 07:52:14
0,0,1,0,0,other,2020-03-03 07:57:49,2020-03-06 07:52:15
0,0,0,0,0,other,2020-03-03 08:00:04,2020-03-06 07:52:16
0,0,0,0,1,eat,2020-03-03 08:00:11,2020-03-06 07:52:17
0,1,0,0,0,other,2020-03-04 05:32:20,2020-03-06 05:28:20
0,0,0,0,0,other,2020-03-04 05:32:24,2020-03-06 05:28:21
0,0,0,1,0,other,2020-03-04 05:32:27,2020-03-06 05:28:22
0,0,0,0,0,other,2020-03-04 05:32:32,2020-03-06 05:28:23
0,0,0,1,0,sleep,2020-03-04 05:32:33,2020-03-06 05:28:24
0,0,0,0,1,sleep,2020-03-04 06:12:42,2020-03-06 05:28:25
0,0,0,0,0,sleep,2020-03-04 06:16:21,2020-03-06 05:28:26
0,1,0,0,0,sleep,2020-03-04 06:16:22,2020-03-06 05:28:27
0,0,0,0,0,sleep,2020-03-04 06:16:25,2020-03-06 05:28:28
0,0,1,0,0,eat,2020-03-04 06:16:27,2020-03-06 05:28:29
0,0,0,0,0,eat,2020-03-04 06:33:17,2020-03-06 05:28:30
1,0,0,0,0,eat,2020-03-04 06:33:21,2020-03-06 05:28:31
0,1,0,0,0,eat,2020-03-04 07:20:07,2020-03-06 05:28:32
0,0,0,0,0,work,2020-03-04 07:50:16,2020-03-06 05:28:33
0,0,0,0,1,leisure,2020-03-04 07:50:18,2020-03-06 05:28:34
0,0,0,0,0,leisure,2020-03-04 07:55:12,2020-03-06 05:28:35
0,1,0,0,0,personal,2020-03-04 07:55:13,2020-03-06 05:28:36
0,0,0,0,0,personal,2020-03-04 08:26:43,2020-03-06 05:28:37
0,1,0,0,0,leisure,2020-03-04 08:26:44,2020-03-06 05:28:38
0,0,0,0,0,leisure,2020-03-04 08:26:45,2020-03-06 05:28:39
0,0,1,0,0,leisure,2020-03-04 08:26:47,2020-03-06 05:28:40
0,0,0,0,0,leisure,2020-03-04 08:26:56,2020-03-06 05:28:41
1,0,0,0,0,leisure,2020-03-04 08:26:57,2020-03-06 05:28:42
0,0,0,0,0,leisure,2020-03-04 08:57:04,2020-03-06 05:28:43
0,1,0,0,0,leisure,2020-03-04 08:57:05,2020-03-06 05:28:44
0,0,0,0,0,leisure,2020-03-04 09:47:11,2020-03-06 05:28:45
0,0,0,0,1,leisure,2020-03-04 09:47:12,2020-03-06 05:28:46
0,0,0,1,0,leisure,2020-03-04 09:47:13,2020-03-06 05:28:47
0,0,0,1,0,other,2020-03-01 08:02:05,2020-03-07 08:03:53
0,0,0,0,0,other,2020-03-01 08:02:24,2020-03-07 08:03:54
0,0,0,1,0,other,2020-03-01 08:02:37,2020-03-07 08:03:55
0,0,0,0,0,other,2020-03-01 08:02:40,2020-03-07 08:03:56
0,0,0,0,1,other,2020-03-01 08:02:43,2020-03-07 08:03:57
0,0,0,0,0,personal,2020-03-01 08:13:38,2020-03-07 08:03:58
0,1,0,0,0,personal,2020-03-01 08:13:42,2020-03-07 08:03:59
0,0,0,0,0,personal,2020-03-01 08:17:58,2020-03-07 08:04:00
0,1,0,0,0,leisure,2020-03-01 08:17:59,2020-03-07 08:04:01
0,0,0,0,0,leisure,2020-03-01 08:22:11,2020-03-07 08:04:02
0,0,1,0,0,eat,2020-03-01 08:22:13,2020-03-07 08:04:03
0,0,0,0,0,eat,2020-03-01 08:33:47,2020-03-07 08:04:04
0,1,0,0,0,eat,2020-03-01 08:33:49,2020-03-07 08:04:05
1,0,0,0,0,other,2020-03-01 04:20:10,2020-03-07 04:15:42
0,0,0,0,0,other,2020-03-01 04:20:17,2020-03-07 04:15:43
0,0,1,0,0,eat,2020-03-01 04:20:23,2020-03-07 04:15:44
0,1,0,0,0,eat,2020-03-01 04:31:46,2020-03-07 04:15:45
0,0,0,0,0,eat,2020-03-01 04:31:51,2020-03-07 04:15:46
0,0,0,0,1,leisure,2020-03-01 04:31:55,2020-03-07 04:15:47
0,0,0,0,0,leisure,2020-03-01 04:37:02,2020-03-07 04:15:48
0,0,0,1,0,leisure,2020-03-01 04:37:04,2020-03-07 04:15:49
0,0,0,0,0,leisure,2020-03-01 04:37:07,2020-03-07 04:15:50
0,1,0,0,0,leisure,2020-03-01 04:37:08,2020-03-07 04:15:51
0,0,0,0,0,leisure,2020-03-01 04:57:14,2020-03-07 04:15:52
0,1,0,0,0,leisure,2020-03-01 04:57:16,2020-03-07 04:15:53
0,0,0,0,0,leisure,2020-03-01 04:57:19,2020-03-07 04:15:54
0,0,0,1,0,leisure,2020-03-01 04:57:20,2020-03-07 04:15:55
0,0,0,1,0,other,2020-03-01 08:02:05,2020-03-08 08:06:18
0,0,0,0,0,other,2020-03-01 08:02:24,2020-03-08 08:06:19
0,0,0,1,0,other,2020-03-01 08:02:37,2020-03-08 08:06:20
0,0,0,0,0,other,2020-03-01 08:02:40,2020-03-08 08:06:21
0,0,0,0,1,other,2020-03-01 08:02:43,2020-03-08 08:06:22
0,0,0,0,0,personal,2020-03-01 08:13:38,2020-03-08 08:06:23
0,1,0,0,0,personal,2020-03-01 08:13:42,2020-03-08 08:06:24
0,0,0,0,0,personal,2020-03-01 08:17:58,2020-03-08 08:06:25
0,1,0,0,0,leisure,2020-03-01 08:17:59,2020-03-08 08:06:26
0,0,0,0,0,leisure,2020-03-01 08:22:11,2020-03-08 08:06:27
0,0,1,0,0,eat,2020-03-01 08:22:13,2020-03-08 08:06:28
0,0,0,0,0,eat,2020-03-01 08:33:47,2020-03-08 08:06:29
0,1,0,0,0,eat,2020-03-01 08:33:49,2020-03-08 08:06:30
1,0,0,0,0,other,2020-03-01 04:20:10,2020-03-08 04:17:16
0,0,0,0,0,other,2020-03-01 04:20:17,2020-03-08 04:17:17
0,0,1,0,0,eat,2020-03-01 04:20:23,2020-03-08 04:17:18
0,1,0,0,0,eat,2020-03-01 04:31:46,2020-03-08 04:17:19
0,0,0,0,0,eat,2020-03-01 04:31:51,2020-03-08 04:17:20
0,0,0,0,1,leisure,2020-03-01 04:31:55,2020-03-08 04:17:21
0,0,0,0,0,leisure,2020-03-01 04:37:02,2020-03-08 04:17:22
0,0,0,1,0,leisure,2020-03-01 04:37:04,2020-03-08 04:17:23
0,0,0,0,0,leisure,2020-03-01 04:37:07,2020-03-08 04:17:24
0,1,0,0,0,leisure,2020-03-01 04:37:08,2020-03-08 04:17:25
0,0,0,0,0,leisure,2020-03-01 04:57:14,2020-03-08 04:17:26
0,1,0,0,0,leisure,2020-03-01 04:57:16,2020-03-08 04:17:27
0,0,0,0,0,leisure,2020-03-01 04:57:19,2020-03-08 04:17:28
0,0,0,1,0,leisure,2020-03-01 04:57:20,2020-03-08 04:17:29
0,0,0,1,0,other,2020-03-03 07:55:30,2020-03-09 08:00:01
0,0,0,0,0,other,2020-03-03 07:57:43,2020-03-09 08:00:02
0,0,1,0,0,other,2020-03-03 07:57:49,2020-03-09 08:00:03
0,0,0,0,0,other,2020-03-03 08:00:04,2020-03-09 08:00:04
0,0,0,0,1,eat,2020-03-03 08:00:11,2020-03-09 08:00:05
0,1,0,0,0,other,2020-03-04 05:32:20,2020-03-09 05:30:48
0,0,0,0,0,other,2020-03-04 05:32:24,2020-03-09 05:30:49
0,0,0,1,0,other,2020-03-04 05:32:27,2020-03-09 05:30:50
0,0,0,0,0,other,2020-03-04 05:32:32,2020-03-09 05:30:51
0,0,0,1,0,sleep,2020-03-04 05:32:33,2020-03-09 05:30:52
0,0,0,0,1,sleep,2020-03-04 06:12:42,2020-03-09 05:30:53
0,0,0,0,0,sleep,2020-03-04 06:16:21,2020-03-09 05:30:54
0,1,0,0,0,sleep,2020-03-04 06:16:22,2020-03-09 05:30:55
0,0,0,0,0,sleep,2020-03-04 06:16:25,2020-03-09 05:30:56
0,0,1,0,0,eat,2020-03-04 06:16:27,2020-03-09 05:30:57
0,0,0,0,0,eat,2020-03-04 06:33:17,2020-03-09 05:30:58
1,0,0,0,0,eat,2020-03-04 06:33:21,2020-03-09 05:30:59
0,1,0,0,0,eat,2020-03-04 07:20:07,2020-03-09 05:31:00
0,0,0,0,0,work,2020-03-04 07:50:16,2020-03-09 05:31:01
0,0,0,0,1,leisure,2020-03-04 07:50:18,2020-03-09 05:31:02
0,0,0,0,0,leisure,2020-03-04 07:55:12,2020-03-09 05:31:03
0,1,0,0,0,personal,2020-03-04 07:55:13,2020-03-09 05:31:04
0,0,0,0,0,personal,2020-03-04 08:26:43,2020-03-09 05:31:05
0,1,0,0,0,leisure,2020-03-04 08:26:44,2020-03-09 05:31:06
0,0,0,0,0,leisure,2020-03-04 08:26:45,2020-03-09 05:31:07
0,0,1,0,0,leisure,2020-03-04 08:26:47,2020-03-09 05:31:08
0,0,0,0,0,leisure,2020-03-04 08:26:56,2020-03-09 05:31:09
1,0,0,0,0,leisure,2020-03-04 08:26:57,2020-03-09 05:31:10
0,0,0,0,0,leisure,2020-03-04 08:57:04,2020-03-09 05:31:11
0,1,0,0,0,leisure,2020-03-04 08:57:05,2020-03-09 05:31:12
0,0,0,0,0,leisure,2020-03-04 09:47:11,2020-03-09 05:31:13
0,0,0,0,1,leisure,2020-03-04 09:47:12,2020-03-09 05:31:14
0,0,0,1,0,leisure,2020-03-04 09:47:13,2020-03-09 05:31:15
0,0,0,1,0,other,2020-03-03 07:55:30,2020-03-10 07:59:36
0,0,0,0,0,other,2020-03-03 07:57:43,2020-03-10 07:59:37
0,0,1,0,0,other,2020-03-03 07:57:49,2020-03-10 07:59:38
0,0,0,0,0,other,2020-03-03 08:00:04,2020-03-10 07:59:39
0,0,0,0,1,eat,2020-03-03 08:00:11,2020-03-10 07:59:40
0,1,0,0,0,other,2020-03-04 05:32:20,2020-03-10 05:31:59
0,0,0,0,0,other,2020-03-04 05:32:24,2020-03-10 05:32:00
0,0,0,1,0,other,2020-03-04 05:32:27,2020-03-10 05:32:01
0,0,0,0,0,other,2020-03-04 05:32:32,2020-03-10 05:32:02
0,0,0,1,0,sleep,2020-03-04 05:32:33,2020-03-10 05:32:03
0,0,0,0,1,sleep,2020-03-04 06:12:42,2020-03-10 05:32:04
0,0,0,0,0,sleep,2020-03-04 06:16:21,2020-03-10 05:32:05
0,1,0,0,0,sleep,2020-03-04 06:16:22,2020-03-10 05:32:06
0,0,0,0,0,sleep,2020-03-04 06:16:25,2020-03-10 05:32:07
0,0,1,0,0,eat,2020-03-04 06:16:27,2020-03-10 05:32:08
0,0,0,0,0,eat,2020-03-04 06:33:17,2020-03-10 05:32:09
1,0,0,0,0,eat,2020-03-04 06:33:21,2020-03-10 05:32:10
0,1,0,0,0,eat,2020-03-04 07:20:07,2020-03-10 05:32:11
0,0,0,0,0,work,2020-03-04 07:50:16,2020-03-10 05:32:12
0,0,0,0,1,leisure,2020-03-04 07:50:18,2020-03-10 05:32:13
0,0,0,0,0,leisure,2020-03-04 07:55:12,2020-03-10 05:32:14
0,1,0,0,0,personal,2020-03-04 07:55:13,2020-03-10 05:32:15
0,0,0,0,0,personal,2020-03-04 08:26:43,2020-03-10 05:32:16
0,1,0,0,0,leisure,2020-03-04 08:26:44,2020-03-10 05:32:17
0,0,0,0,0,leisure,2020-03-04 08:26:45,2020-03-10 05:32:18
0,0,1,0,0,leisure,2020-03-04 08:26:47,2020-03-10 05:32:19
0,0,0,0,0,leisure,2020-03-04 08:26:56,2020-03-10 05:32:20
1,0,0,0,0,leisure,2020-03-04 08:26:57,2020-03-10 05:32:21
0,0,0,0,0,leisure,2020-03-04 08:57:04,2020-03-10 05:32:22
0,1,0,0,0,leisure,2020-03-04 08:57:05,2020-03-10 05:32:23
0,0,0,0,0,leisure,2020-03-04 09:47:11,2020-03-10 05:32:24
0,0,0,0,1,leisure,2020-03-04 09:47:12,2020-03-10 05:32:25
0,0,0,1,0,leisure,2020-03-04 09:47:13,2020-03-10 05:32:26
